Subfactor,Type,Coolant,Film,Cladding
Power level measurement and control deadband,Direct,1.03,1.03,1.03
Inlet flow maldistribution,Direct,1.02,1.006,1
Flow distribution calc. (sim. bias),Direct,1.03,1,1
Clad circumferential temp var.,Direct,1,2.1,0.8
Pellet cladding eccentricity,Direct,1,1.14,1.14
Reactor inlet/delta temp. variation,Statistical,1 + (3 / (dT * 5 / 9)) * np.sqrt(0.002304 * (dT * 5 / 9)**2 - 0.384 * (dT * 5 / 9) + 121),1.016,1
Inlet flow maldistribution,Statistical,1.059,1,1
Loop temp imbalance,Statistical,1 + 7.4 * 5 / 9 / dT,1,1
Wire wrap orientation,Statistical,1.01,1,1
Subchannel flow area,Statistical,1.019,1,1
Film HTC,Statistical,1,1.12,1
Clad thickness and cond.,Statistical,1,1,1
Pellet-clad eccentricity,Statistical,1,1.174,1.174
Coolant properties,Statistical,1.017,1,1
Flow distribution calculational uncertainty,Statistical,1.058,1.005,1
