temperature,density,viscosity,heat_capacity,thermal_conductivity
371,,0.000688,1383,89.44
400,919,0.000599,1372,87.22
500,897,0.000415,1334,80.09
600,874,0.000321,1301,73.7
700,852,0.000264,1277,68
800,828,0.000227,1260,62.9
900,805,0.000201,1252,58.34
1000,781,0.000181,1252,54.24
1100,756,0.000166,1261,50.54
1200,732,0.000153,1279,47.16
1300,706,0.000143,1305,44.03
1400,680,0.000135,1340,41.08
1500,653,0.000128,1384,38.24
1600,626,0.000122,1437,35.44
1700,597,0.000117,1500,32.61
1800,568,0.000112,1574,29.68
1900,537,0.000108,1661,26.57
2000,504,0.000104,1764,23.21
2100,469,0.000101,1926,19.54
2200,431,0.000098,2190,15.48
2300,387,0.000095,2690,10.97
2400,335,0.000092,4014,5.92
2469,239,,8274,
2500,219,,39279,0.27
